SUB_INDUSTRY,FREE_CASH_FLOW,EBITDA,ENTERPRISE_VALUE,NET_SALES,RETURN_ON_ EQUITY,RETURN_ON_INVESTED_CAPITAl,RETURN_ON_ASSET,EPS_12M_FORWARD
Aerospace and Defense,0.2745736818181818,0.3158236818181818,6.462896954545456,5333.663772727273,5.330909090909091,5.645,3.608636363636364,3.3049999999999997
Alternative Energy,0.03282821428571429,0.14479964285714284,4.057816071428571,1852.6641428571427,18.327857142857145,3.8607142857142853,1.629285714285714,1.55
Automobiles and Parts,0.40012084000000003,0.66374152,6.919595040000001,6784.6875199999995,-9.907999999999998,2.3616,1.7912000000000003,2.9116000000000004
Banks,0.2552070421052631,0.3651854578947369,3.5216321842105267,2774.9606789473683,11.326052631578946,8.483842105263157,1.0248947368421053,3.3154421052631577
Beverages,0.509127625,0.56491375,14.594601625,4719.8751250000005,20.1975,17.95125,13.7,4.08125
Chemicals,0.56131575,0.7465999722222222,8.193127805555555,5305.778027777777,15.460833333333333,8.140555555555556,5.842222222222222,5.271944444444444
Construction and Materials,0.329986875,0.5271975535714286,5.806266,6546.301392857144,9.783928571428572,8.636071428571428,6.221071428571428,4.741607142857142
Consumer Services,0.2834236551724138,0.48153062068965513,6.56607,4178.938172413793,0.657931034482758,4.436551724137931,3.759655172413793,3.205862068965517
Electricity,0.9293218846153847,1.4725271153846153,17.96989526923077,9353.349807692308,8.36923076923077,4.924230769230769,3.3923076923076922,2.6353846153846154
Electronic and Electrical Equipment,0.34296459999999995,0.41648236,8.89729666,5405.52502,15.312000000000001,9.212,6.6928,5.269
Finance and Credit Services,0.42199887499999994,0.9578814583333334,10.312161708333333,3134.30625,21.326666666666664,7.697916666666667,5.573333333333333,5.679583333333333
Food Producers,0.39845263157894734,0.5897525263157896,8.415446236842106,7127.8054999999995,10.282894736842104,6.258684210526316,4.647368421052631,2.8552631578947367
"Gas, Water and Multi-utilities",0.36533156,0.93869952,12.14474268,5544.00656,9.613999999999999,6.0952,4.1772,3.0416000000000003
General Industrials,0.5501625263157894,0.8292583157894736,10.14099252631579,7561.7959473684205,21.93078947368421,6.981315789473685,4.87078947368421,4.621052631578947
Health Care Providers,0.24247996,0.32161024,6.046457960000001,4276.9858,-6.6654,1.0998,0.3812,2.10672
Household Goods and Home Construction,0.20897645454545455,0.6569077878787879,5.187496545454546,5778.722848484848,17.11060606060606,11.608484848484848,8.502121212121212,6.762727272727274
Industrial Engineering,0.2898956842105263,0.4131939210526316,6.671036710526316,4569.701684210526,9.73421052631579,7.816052631578947,5.5102631578947365,4.958947368421053
Industrial Materials,0.40155299999999994,0.6181263076923078,5.128666615384616,4676.6116923076925,13.099230769230768,6.949999999999999,4.9023076923076925,4.541538461538462
Industrial Metals and Mining,0.3031851304347826,0.7659152608695652,5.835749043478261,6677.240478260869,0.4008695652173909,4.788695652173913,3.574782608695652,4.326043478260869
Industrial Support Services,0.33326110389610386,0.41403367532467533,7.0202597272727285,4943.383766233766,12.61961038961039,7.066883116883116,4.396623376623377,4.072220779220779
Industrial Transportation,0.39367520000000006,0.5358121818181818,6.186357272727273,5557.257254545454,10.508909090909091,8.668363636363637,6.094181818181818,4.525709090909091
Investment Banking and Brokerage Services,0.9798395853658537,1.2084780243902438,12.708999707317073,7196.254219512195,24.569268292682928,11.504146341463414,6.4087804878048775,6.1570731707317075
Leisure Goods,0.33355746875000003,0.463779875,6.2616863125,5053.88365625,20.74,13.5146875,9.9509375,4.8825375
Life Insurance,0.8554922727272728,1.0369846363636364,6.783431454545454,11198.990909090908,8.110909090909091,5.947272727272727,1.3672727272727272,5.846363636363637
Media,0.5370795714285714,0.8750008,11.236479742857142,6942.0062,-5.413142857142858,0.781142857142857,0.3114285714285714,2.3649714285714287
Medical Equipment and Services,0.22787070329670328,0.3113290989010989,6.89832332967033,3892.5469890109894,-12.163626373626371,-3.8434065934065935,-2.896813186813187,1.6157010989010987
Mortgage Real Estate Investment Trusts,-0.21800700000000003,0.2997171739130435,9.511338043478261,1298.206304347826,-7.237826086956522,1.0256521739130435,1.1104347826086958,1.3982608695652174
Non-life Insurance,0.9434038936170214,0.9072598297872341,7.346978191489361,6351.389042553191,4.008936170212766,8.159574468085106,3.0148936170212766,5.202765957446808
"Oil, Gas and Coal",0.7041288939393939,0.5363672121212121,6.871384772727272,4917.833515151515,-23.53909090909091,-9.232424242424242,-6.96530303030303,2.404409090909091
"Personal Care, Drug and Grocery Stores",0.31144057894736843,0.37624673684210524,6.456042315789474,7751.515684210527,21.062631578947368,11.394736842105264,7.776315789473684,2.7859473684210525
Personal Goods,0.486552625,0.5497017916666667,6.522762666666666,5712.190208333333,1.9299999999999997,1.0720833333333335,1.1254166666666667,4.7629166666666665
Pharmaceuticals and Biotechnology,0.0709510410958904,0.054813,4.548540246575342,2086.6498835616435,-24.468150684931505,-16.786986301369865,-11.6463698630137,-0.7761643835616437
Precious Metals and Mining,0.9082086666666668,1.0023023333333334,10.055433166666667,3936.893,-5.528333333333333,-1.125,-1.8016666666666667,1.3
Real Estate Investment Trusts,0.3181935579710145,0.47340436956521736,9.191335601449275,4094.394478260869,0.8742753623188406,2.871666666666667,2.689130434782609,0.9614855072463768
Real Estate Investment and Services,-0.4313826842105264,0.3393505789473684,8.524177263157895,5001.054052631579,-2.9510526315789476,2.5094736842105267,1.2410526315789474,2.273578947368421
Retailers,0.3738643896103896,0.5496314285714287,5.8647445454545455,7436.49987012987,6.3446753246753245,5.835844155844156,3.602987012987013,5.076805194805194
Software and Computer Services,0.21726986394557823,0.17395295238095237,9.792379299319729,4955.931210884354,-5.597346938775511,-1.2361224489795917,-0.4402721088435374,1.7399943537414966
Technology Hardware and Equipment,0.35244086486486487,0.4481647837837838,6.5496830675675675,4809.587135135135,9.747162162162162,6.963918918918919,4.9589189189189185,3.7524324324324327
Telecommunications Equipment,0.196032,0.23722895454545456,3.0868028636363634,3823.187909090909,-16.313636363636363,2.7372727272727273,2.475909090909091,1.5322727272727272
Telecommunications Service Providers,0.987162388888889,1.1509522222222222,14.676105111111111,4867.606277777778,-5.245,-2.1733333333333333,-1.656666666666667,1.4913888888888889
Tobacco,0.060044,0.09329699999999999,1.194215,453.744,28.32,12.08,10.48,2.98
Travel and Leisure,0.2592048412698413,0.27724946031746034,8.510245714285714,4710.503666666667,-37.62222222222223,-5.177936507936509,-2.6025396825396827,2.1654285714285715
Waste and Disposal Services,0.20916683333333333,0.2629936666666666,3.952766,2700.4431666666665,-0.35666666666666763,0.6550000000000002,0.19333333333333336,1.8150000000000002
